listing_class,cost,name,address,beds,baths,sqft,neighborhood,zipcode,property_link
3,"$3,100 /mo","1240 N Milwaukee Ave, Chicago, IL",1240 N Milwaukee Ave,"2 Beds, 2 Baths",2 ba,,Ukrainian Village,"1240 N Milwaukee Ave Chicago, IL 60622",https://www.apartments.com/1240-n-milwaukee-ave-chicago-il/1n75s77/
3,"$3,100 ","Excellent 2bed with high-end finishes - se... Unit 4A, Chicago, IL",1240 N Milwaukee Ave,2 Beds,2 ba,"1,000 sq ft",Ukrainian Village,"1240 N Milwaukee Ave Chicago, IL 60622",https://www.apartments.com/excellent-2bed-with-high-end-finishes-se-chicago-il-unit-4a/w9hnx6h/
3,"$1,300 ","Apartment for Rent, Chicago, IL",3734 W Wabansia Ave,2 Beds,1 ba,900 sq ft,Logan Square,"3734 W Wabansia Ave Chicago, IL 60647",https://www.apartments.com/3734-w-wabansia-ave-chicago-il-unit-2r/gxj3pcz/
3,"$2,600 ","Apartment for Rent, Chicago, IL",2545 N Milwaukee Ave,3 Beds,1 ba,"1,100 sq ft",Logan Square,"2545 N Milwaukee Ave Chicago, IL 60647",https://www.apartments.com/2545-n-milwaukee-ave-chicago-il-unit-3/rqbjlp3/
3,"$3,300 /mo","2035 W Crystal St, Chicago, IL",2035 W Crystal St,"3 Beds, 3 Baths",3 ba,,Ukrainian Village,"2035 W Crystal St Chicago, IL 60622",https://www.apartments.com/2035-w-crystal-st-chicago-il/j99z4s5/
3,"$3,300 ","Beautiful duplex down located in historica... Unit 1, Chicago, IL",2035 W Crystal St,3 Beds,3 ba,"2,200 sq ft",Ukrainian Village,"2035 W Crystal St Chicago, IL 60622",https://www.apartments.com/beautiful-duplex-down-located-in-historica-chicago-il-unit-1/9bh9eq5/
3,"$3,100 ","Spectacular 2 bedroom condo with Walk-In C... Unit 4, Chicago, IL",1240 N Milwaukee Ave,2 Beds,2 ba,"1,000 sq ft",Ukrainian Village,"1240 N Milwaukee Ave Chicago, IL 60622",https://www.apartments.com/spectacular-2-bedroom-condo-with-walk-in-c-chicago-il-unit-4/p45z8sv/
3,"$3,800 /mo","2134 W Division St, Chicago, IL",2134 W Division St,"4 Beds, 2 Baths",2 ba,,Ukrainian Village,"2134 W Division St Chicago, IL 60622",https://www.apartments.com/2134-w-division-st-chicago-il/5w0x84q/
3,"$3,100 ","Spectacular, light-filled extra-wide condo... Unit 4H, Chicago, IL",1240 N Milwaukee Ave,2 Beds,2 ba,"1,000 sq ft",Ukrainian Village,"1240 N Milwaukee Ave Chicago, IL 60622",https://www.apartments.com/spectacular-light-filled-extra-wide-condo-chicago-il-unit-4h/f1k7ecr/
3,"$1,903 /mo","1664 W Division St, Chicago, IL",1664 W Division St,"1 Bed, 1 Bath",1 ba,,Ukrainian Village,"1664 W Division St Chicago, IL 60622",https://www.apartments.com/1664-w-division-st-chicago-il/08nfgb2/
3,"$1,250 ","1249 N Artesian Ave Unit 3F, Chicago, IL",1249 N Artesian Ave,1 Bed,1 ba,850 sq ft,Ukrainian Village,"1249 N Artesian Ave Chicago, IL 60622",https://www.apartments.com/1249-n-artesian-ave-chicago-il-unit-3f/kzl591b/
3,"$3,500 ","867 North Hermitage Avenue Apt #1, Chicago... Unit 1, Chicago, IL",867 N Hermitage Ave,3 Beds,2.5 ba,"1,800 sq ft",Ukrainian Village,"867 N Hermitage Ave Chicago, IL 60622",https://www.apartments.com/867-north-hermitage-avenue-apt-1-chicago-chicago-il-unit-1/0tzg600/
3,"$2,150 ","0 bedroom in Chicago IL 60622 Unit 612-H, Chicago, IL",1664 W Division St,Studio,1 ba,,Ukrainian Village,"1664 W Division St Chicago, IL 60622",https://www.apartments.com/0-bedroom-in-chicago-il-60622-chicago-il-unit-612-h/swqyd14/
3,"$1,964 ","2658 W Huron St Unit CH, Chicago, IL",2658 W Huron St,2 Beds,1 ba,,Ukrainian Village,"2658 W Huron St Chicago, IL 60612",https://www.apartments.com/2658-w-huron-st-chicago-il-unit-ch/l94p38d/
3,"$2,500 ","848 N Fairfield Ave Unit 3, Chicago, IL",848 N Fairfield Ave,2 Beds,1 ba,"1,500 sq ft",Ukrainian Village,"848 N Fairfield Ave Chicago, IL 60622",https://www.apartments.com/848-n-fairfield-ave-chicago-il-unit-3/ss11s04/
3,"$1,700 ","Condo for Rent, Chicago, IL",1648 W Ontario St,2 Beds,1 ba,,West Town,"1648 W Ontario St Chicago, IL 60622",https://www.apartments.com/1648-w-ontario-st-chicago-il-unit-2/wzpzb7k/
3,"$2,500 ","Condo for Rent, Chicago, IL",1535 W Ohio St,2 Beds,2 ba,"1,100 sq ft",West Town,"1535 W Ohio St Chicago, IL 60642",https://www.apartments.com/1535-w-ohio-st-chicago-il-unit-2/6pk51zr/
3,"$1,950 ","Condo for Rent, Chicago, IL",1429 W Chicago Ave,2 Beds,1 ba,950 sq ft,West Town,"1429 W Chicago Ave Chicago, IL 60642",https://www.apartments.com/1429-w-chicago-ave-chicago-il-unit-00ch/sse63y4/
3,"$1,950 ","Apartment for Rent, Chicago, IL",1429 W Chicago Ave,2 Beds,1 ba,"1,000 sq ft",West Town,"1429 W Chicago Ave Chicago, IL 60642",https://www.apartments.com/1429-w-chicago-ave-chicago-il-unit-ch/pl8y1ls/
3,"$2,500 ","Condo for Rent, Chicago, IL",1535 W Ohio St,2 Beds,2 ba,"1,100 sq ft",West Town,"1535 W Ohio St Chicago, IL 60642",https://www.apartments.com/1535-w-ohio-st-chicago-il-unit-2/mpnl6sl/
3,"$3,150 ","Condo for Rent, Chicago, IL",509 N Hartland Ct,3 Beds,3 ba,"1,300 sq ft",West Town,"509 N Hartland Ct Chicago, IL 60622",https://www.apartments.com/509-n-hartland-ct-chicago-il-unit-3s/enserxp/
3,"$2,500 ","Condo for Rent, Chicago, IL",1535 W Ohio St,2 Beds,2 ba,"1,100 sq ft",West Town,"1535 W Ohio St Chicago, IL 60642",https://www.apartments.com/1535-w-ohio-st-chicago-il-unit-0002/kmhp9n9/
3,"$1,950 ","Apartment for Rent, Chicago, IL",1429 W Chicago Ave,2 Beds,1 ba,"1,000 sq ft",West Town,"1429 W Chicago Ave Chicago, IL 60642",https://www.apartments.com/1429-w-chicago-ave-chicago-il-unit-ch/9n3mvb6/
3,"$1,400 ","Apartment for Rent, Chicago, IL",2308 W Grand Ave,2 Beds,1 ba,800 sq ft,West Town,"2308 W Grand Ave Chicago, IL 60612",https://www.apartments.com/2308-w-grand-ave-chicago-il-unit-2f/n7zcxxm/
3,"$3,800 ","Apartment for Rent, Chicago, IL",1639 W Grand Ave,3 Beds,2 ba,"2,200 sq ft",West Town,"1639 W Grand Ave Chicago, IL 60622",https://www.apartments.com/1639-w-grand-ave-chicago-il-unit-401/7g73b4x/
